product_id,store_id,stock_on_hand,stock_sold,reorder_level
P032,S002,116.0,13,42
P033,S002,,47,26
P034,S002,62.0,11,21
P035,S002,93.0,10,
P036,S002,130.0,18,33
P037,S002,83.0,30,
P038,S002,94.0,44,20
P039,S002,124.0,39,44
P040,S002,58.0,11,23
P041,S002,198.0,43,24
P042,S002,134.0,25,43
P043,S002,119.0,12,41
P044,S002,180.0,30,41
P045,S002,78.0,33,31
P046,S002,84.0,32,37
P047,S002,121.0,37,22
P048,S002,139.0,37,31
P049,S002,132.0,35,29
P050,S002,138.0,43,24
P001,S003,113.0,33,28
P002,S003,53.0,20,20
P003,S003,128.0,24,25
P004,S003,146.0,26,20
P005,S003,138.0,17,32
P006,S003,106.0,35,45
P007,S003,83.0,19,38
P008,S003,129.0,19,21
P009,S003,164.0,44,44
P010,S003,148.0,6,30
P011,S003,136.0,25,25
P012,S003,145.0,16,48
P013,S003,145.0,41,39
P014,S003,143.0,15,22
P015,S003,113.0,11,47
P016,S003,191.0,27,28
P017,S003,80.0,14,45
P018,S003,97.0,43,35
P019,S003,130.0,19,44
P020,S003,50.0,13,22
P021,S003,72.0,41,23
P022,S003,73.0,15,43
P023,S003,84.0,45,31
P024,S003,95.0,19,44
P025,S003,135.0,45,48
P026,S003,128.0,-1,39
P027,S003,76.0,13,23
P028,S003,117.0,13,31
P029,S003,66.0,40,26
P030,S003,187.0,43,47
P031,S003,96.0,46,20
P032,S003,74.0,8,35
P033,S003,146.0,18,33
P034,S003,92.0,12,46
P035,S003,142.0,32,
P036,S003,112.0,46,48
P037,S003,96.0,49,46
P038,S003,123.0,35,45
P039,S003,102.0,6,32
P040,S003,87.0,7,49
P041,S003,79.0,48,25
P042,S003,132.0,36,38
P043,S003,118.0,29,38
P044,S003,52.0,19,26
P045,S003,76.0,14,40
P046,S003,145.0,15,20
P047,S003,109.0,25,24
P048,S003,120.0,35,27
P049,S003,82.0,6,20
P050,S003,51.0,7,44
P001,S004,143.0,30,45
P002,S004,105.0,7,47
P003,S004,82.0,10,25
P004,S004,56.0,23,24
P005,S004,56.0,16,25
P006,S004,54.0,27,24
P007,S004,199.0,46,
P008,S004,67.0,31,21
P009,S004,86.0,17,35
P010,S004,59.0,10,32
P011,S004,85.0,5,20
P012,S004,105.0,13,Thirty
P013,S004,158.0,30,45
P014,S004,93.0,40,33
P015,S004,55.0,19,28
P016,S004,194.0,29,43
P017,S004,123.0,45,48
P018,S004,168.0,49,29
P019,S004,66.0,34,26
P020,S004,93.0,34,40
P021,S004,124.0,46,43
P022,S004,103.0,22,41
P023,S004,129.0,30,21
P024,S004,98.0,34,33
P025,S004,146.0,28,37
P026,S004,177.0,49,28
P027,S004,145.0,12,49
P028,S004,188.0,39,49
P029,S004,57.0,14,36
P030,S004,174.0,48,41
P031,S004,,6,22
P032,S004,80.0,11,36
P033,S004,95.0,31,31
P034,S004,137.0,16,27
P035,S004,72.0,8,35
P036,S004,162.0,38,39
P037,S004,,25,29
P038,S004,132.0,14,41
P039,S004,163.0,48,37
P040,S004,94.0,14,33
P041,S004,190.0,38,34
P042,S004,183.0,30,47
P043,S004,127.0,43,40
P044,S004,105.0,18,29
P045,S004,199.0,42,34
P046,S004,85.0,9,49
P047,S004,193.0,43,30
P048,S004,142.0,18,37
P049,S004,78.0,30,43
P050,S004,153.0,23,35
P001,S005,141.0,26,41
P002,S005,105.0,35,25
P003,S005,180.0,17,49
P004,S005,134.0,43,30
P005,S005,2833.0,34,31
P006,S005,98.0,45,37
P007,S005,85.0,17,49
P008,S005,98.0,34,22
P009,S005,59.0,9,40
P010,S005,132.0,30,37
P011,S005,91.0,35,44
P012,S005,131.0,15,45
P013,S005,101.0,10,26
P014,S005,86.0,36,32
P015,S005,172.0,41,39
P016,S005,107.0,46,30
P017,S005,55.0,20,22
P018,S005,94.0,39,37
P019,S005,73.0,19,29
P020,S005,72.0,33,21
P021,S005,172.0,26,49
P022,S005,90.0,49,36
P023,S005,120.0,14,49
P024,S005,113.0,26,21
P025,S005,140.0,13,27
P026,S005,111.0,32,25
P027,S005,88.0,25,47
P028,S005,99.0,33,32
P029,S005,177.0,34,44
P030,S005,55.0,5,30
P031,S005,126.0,7,34
P032,S005,193.0,40,23
P033,S005,94.0,43,35
P034,S005,66.0,16,22
P035,S005,80.0,17,32
P036,S005,93.0,27,23
P037,S005,85.0,47,35
P038,S005,73.0,7,30
P039,S005,83.0,12,38
P040,S005,77.0,49,21
P041,S005,114.0,19,44
P042,S005,151.0,15,45
P043,S005,59.0,22,20
P044,S005,192.0,23,37
P045,S005,58.0,11,34
P046,S005,150.0,30,49
P047,S005,3583.0,30,32
P048,S005,129.0,35,38
P049,S005,125.0,9,28
P050,S005,100.0,7,21
