product_id,store_id,stock_on_hand,stock_sold,reorder_level
P003,S005,163.0,26,43
P004,S005,91.0,38,35
P005,S005,139.0,-1,23
P006,S005,53.0,9,38
P007,S005,170.0,37,37
P008,S005,152.0,44,23
P009,S005,50.0,14,30
P010,S005,102.0,23,39
P011,S005,195.0,24,34
P012,S005,116.0,39,45
P013,S005,91.0,9,20
P014,S005,,12,28
P015,S005,131.0,36,47
P016,S005,61.0,30,30
P017,S005,167.0,13,47
P018,S005,180.0,31,35
P019,S005,54.0,6,35
P020,S005,185.0,18,26
P021,S005,146.0,8,21
P022,S005,198.0,17,25
P023,S005,106.0,10,48
P024,S005,87.0,16,23
P025,S005,127.0,16,23
P026,S005,79.0,25,39
P027,S005,63.0,17,39
P028,S005,66.0,8,42
P029,S005,143.0,23,46
P030,S005,173.0,30,23
P031,S005,119.0,48,34
P032,S005,153.0,19,20
P033,S005,51.0,-8,22
P034,S005,180.0,31,28
P035,S005,63.0,18,39
P036,S005,66.0,21,21
P037,S005,199.0,14,32
P038,S005,170.0,38,30
P039,S005,71.0,7,20
P040,S005,188.0,17,31
P041,S005,95.0,42,26
P042,S005,136.0,32,32
P043,S005,175.0,33,30
P044,S005,169.0,27,38
P045,S005,47.0,5,42
P046,S005,120.0,22,29
P047,S005,117.0,45,26
P048,S005,94.0,32,25
P049,S005,116.0,27,29
P050,S005,93.0,47,
