product_id,store_id,stock_on_hand,stock_sold,reorder_level
P026,S002,181.0,46,
P027,S002,150.0,27,45
P028,S002,81.0,7,38
P029,S002,156.0,10,46
P030,S002,125.0,8,39
P031,S002,132.0,29,36
P032,S002,161.0,17,33
P033,S002,64.0,19,21
P034,S002,128.0,24,35
P035,S002,154.0,39,28
P036,S002,175.0,39,46
P037,S002,163.0,38,29
P038,S002,115.0,38,24
P039,S002,144.0,31,32
P040,S002,162.0,43,40
P041,S002,99.0,42,21
P042,S002,153.0,46,25
P043,S002,56.0,9,25
P044,S002,98.0,12,46
P045,S002,145.0,19,42
P046,S002,86.0,25,42
P047,S002,140.0,48,49
P048,S002,154.0,16,46
P049,S002,73.0,13,24
P050,S002,40.0,5,32
P001,S003,137.0,48,38
P002,S003,145.0,13,22
P003,S003,67.0,20,45
P004,S003,45.0,11,22
P005,S003,72.0,19,21
P006,S003,130.0,43,46
P007,S003,186.0,-6,47
P008,S003,150.0,28,33
P009,S003,163.0,45,Thirty
P010,S003,79.0,14,36
P011,S003,50.0,13,27
P012,S003,81.0,13,44
P013,S003,152.0,11,48
P014,S003,78.0,11,28
P015,S003,1188.0,12,46
P016,S003,95.0,23,27
P017,S003,117.0,48,35
P018,S003,113.0,12,33
P019,S003,95.0,33,26
P020,S003,123.0,48,24
P021,S003,143.0,30,28
P022,S003,122.0,7,43
P023,S003,107.0,9,32
P024,S003,106.0,14,39
P025,S003,140.0,18,28
P026,S003,109.0,26,34
P027,S003,166.0,11,38
P028,S003,196.0,29,31
P029,S003,108.0,25,33
P030,S003,191.0,48,40
P031,S003,114.0,25,39
P032,S003,166.0,42,25
P033,S003,182.0,48,44
P034,S003,156.0,46,43
P035,S003,77.0,25,22
P036,S003,171.0,31,44
P037,S003,134.0,15,21
P038,S003,170.0,18,29
P039,S003,150.0,37,27
P040,S003,177.0,45,Thirty
P041,S003,117.0,43,27
P042,S003,61.0,19,26
P043,S003,52.0,24,26
P044,S003,148.0,24,34
P045,S003,85.0,22,47
P046,S003,149.0,19,46
P047,S003,170.0,14,33
P048,S003,61.0,-8,22
P049,S003,138.0,47,45
P050,S003,87.0,8,26
P001,S004,78.0,23,36
P002,S004,155.0,36,37
P003,S004,102.0,39,
P004,S004,162.0,16,46
P005,S004,163.0,34,30
P006,S004,129.0,46,20
P007,S004,108.0,39,20
P008,S004,113.0,38,37
P009,S004,4722.0,30,48
P010,S004,161.0,15,41
P011,S004,133.0,7,45
P012,S004,194.0,45,32
P013,S004,188.0,33,46
P014,S004,100.0,7,
P015,S004,130.0,7,45
P016,S004,131.0,45,
P017,S004,147.0,-9,31
P018,S004,190.0,43,44
P019,S004,130.0,40,41
P020,S004,156.0,39,48
P021,S004,153.0,23,49
P022,S004,112.0,49,21
P023,S004,49.0,7,22
P024,S004,93.0,11,38
P025,S004,173.0,27,41
P026,S004,85.0,17,26
P027,S004,83.0,47,31
P028,S004,76.0,38,20
P029,S004,118.0,6,20
P030,S004,158.0,46,49
P031,S004,122.0,45,28
P032,S004,193.0,24,26
P033,S004,174.0,33,35
P034,S004,89.0,12,45
P035,S004,151.0,26,31
P036,S004,96.0,17,20
P037,S004,115.0,15,24
P038,S004,159.0,46,36
P039,S004,185.0,20,44
P040,S004,,11,34
P041,S004,126.0,9,38
P042,S004,106.0,37,48
P043,S004,126.0,35,30
P044,S004,1555.0,12,22
P045,S004,122.0,8,31
P046,S004,167.0,10,31
P047,S004,119.0,42,29
P048,S004,197.0,14,45
P049,S004,168.0,6,30
P050,S004,63.0,15,42
P001,S005,62.0,-9,44
P002,S005,91.0,17,49
P003,S005,96.0,12,42
P004,S005,166.0,5,49
P005,S005,87.0,5,32
P006,S005,32.0,5,22
P007,S005,122.0,14,38
P008,S005,75.0,27,37
P009,S005,168.0,40,40
P010,S005,51.0,5,40
P011,S005,149.0,43,44
P012,S005,181.0,7,46
P013,S005,191.0,29,35
P014,S005,154.0,44,23
P015,S005,77.0,17,36
P016,S005,158.0,20,49
P017,S005,141.0,6,48
P018,S005,110.0,29,23
P019,S005,194.0,27,30
P020,S005,160.0,49,49
P021,S005,123.0,48,33
P022,S005,153.0,14,48
P023,S005,80.0,26,36
P024,S005,,30,46
P025,S005,88.0,16,26
P026,S005,119.0,37,34
P027,S005,108.0,40,33
P028,S005,159.0,8,23
P029,S005,78.0,29,33
P030,S005,111.0,24,
P031,S005,143.0,6,44
P032,S005,99.0,40,37
P033,S005,161.0,31,25
P034,S005,109.0,14,34
P035,S005,176.0,27,22
P036,S005,138.0,11,41
P037,S005,146.0,12,43
P038,S005,102.0,15,33
P039,S005,109.0,34,22
P040,S005,142.0,19,26
P041,S005,192.0,27,24
P042,S005,157.0,30,49
P043,S005,97.0,37,38
P044,S005,123.0,46,
P045,S005,154.0,21,39
P046,S005,71.0,36,35
P047,S005,192.0,38,43
P048,S005,151.0,29,28
P049,S005,75.0,11,49
P050,S005,167.0,34,43
